,Unnamed: 0,msno,city,bd,gender,registered_via,registration_init_time,expiration_date
1,10,GoFYKhcq8Q5Gjz1M5L0azHZOhcY+Za/T7fRqIGgBuYA=,12,28,male,9,20060531,20170816
3,15,vUzJAyFEudsnkWwfcLIKT5mJAV+uVRTW2uajCrghFwI=,13,20,male,3,20140410,20170427
6,28,ox62m0QICnrFa8/ZM5jJ5WBidWIieREUjUdCiWExLSU=,6,26,female,7,20140118,20170917
7,29,95tnnY+Zq8f4jpk5SaDWcmnngD9dFe/OwxAqhss6T8k=,4,25,female,3,20150624,20150701
8,30,Der2/cdVesg2+u1UZX/u11dZBM/FWtNl1TlKIK82puw=,11,21,female,9,20140817,20171231
9,33,gVhSsPpgPahjgc3otkuh5me02Tk9MFKkISphH5oKQVo=,15,22,male,4,20151029,20171006
11,37,UjuPJCQo/YoGVR/yJ+CocmWUk2czJE0BBKqaPpVYV64=,13,23,female,9,20130518,20171202
12,38,iOz2XV2LF6MiV+02PovZKeNFDk4+0hWf/QuyiGZ4cCI=,4,28,male,3,20160101,20171005
14,40,uRLetVA/REh7ndu0cxJk7MR39YSYzD6MBrBjeqztI0g=,13,18,female,3,20120629,20180425
15,44,U9wGSC/pB6SkX+3yKHDfJQyCnUYqvqeZYOCNbroOJf8=,5,28,female,9,20130531,20171006
18,50,XL9fOaAmdfJV35udH0/W7xjOtu4REE/Iwlks5ycurHo=,15,24,male,3,20130407,20171021
20,54,uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,15,26,male,9,20111107,20180304
23,57,7fxXq98BYeINQI/uYqCH0z+oiMz26YqTI21KbCRpxZc=,5,24,male,3,20140817,20171004
25,62,xSFqRzK2vBCY9bwpU7PobpeRBJFosVhI1WFZ4qJw2ao=,8,25,female,9,20060702,20170808
27,71,5tmaYIuZWO7AX+pq0ZqXtuX6mUYl5nQGWOxsg6PlFoA=,8,25,female,9,20161110,20171009
28,74,ik+dP9XmiuyBzl5b9mU9kPKglAAQq5VZFDRZmIGVYB0=,5,18,male,4,20151213,20170912
30,79,t8vm3Gr4vn7mI5R4KvgLCGpszgtvKvl91hTnl2zAq7A=,5,26,male,3,20141107,20170616
32,84,d+vzmduRJZbkWVqSPpfI+f9tu0nqNiKv5d83fveQHa8=,4,27,male,3,20160806,20180602
33,85,OY8nHf5TLStttsuwrNQcR/wP2wvyeVpD6/eHh1SlN3E=,5,26,male,3,20161026,20171006
34,91,0gN7VbYwpZAGLzlWgWE3wAQ26XgQ/P5SG3aGIvVCmkw=,22,21,male,7,20151110,20170919
36,94,NE+jdORNBYCKR9xo+TNptpDx2TlRajNS46GuTpxPSCw=,13,22,female,9,20150512,20170913
39,101,j99U1/u7dthHsGVBZlmLfWrpLLJbYwoWsK9iLzlgXwE=,1,24,female,4,20161215,20170527
42,106,2py1N+YUMs51S5OZ5jCZLSt7kpV/eVoypoROrn7x8Ys=,6,22,male,9,20160827,20171014
43,112,PkyjIeI3i6e/DtcQidRqTznpZzCjFvnBltJtA/hYfFM=,18,21,male,9,20070517,20161217
44,113,U9Gjfr5GWxo6IkFGOeYg4KEjFoeXwYacBoiEkkMlWME=,4,20,male,9,20161208,20170927
52,130,IdOfvJMfTMfrmM5rt17S33XkNK5K1pB1mx+Rsj0DA2U=,15,27,male,3,20130525,20171006
55,133,Wabygct8P9Kw2RF4ToRHmWCwxq/lhbUqOhDZDKhkAGE=,20,22,female,3,20150902,20161219
56,138,FfEausbckVJLb5/1iDKPsR14PEZluETO9Jyd8x8K9Us=,6,25,male,9,20161001,20171003
61,144,U33o7FTjgjWTRy7v0QyCVPbWvxhai+A5t+eGKcaaXX8=,11,22,female,3,20130816,20170926
62,146,kEC1Sf7KyCwGaY4m5An79nEzi1YQch3P4P6+dnExA3Y=,15,25,female,9,20090204,20161107
63,149,WjQR/TlGkhq91Ec0jhsXeXHeBS7XTR6RdeoNGU2jRfg=,5,21,female,9,20110315,20110316
65,152,DPu2CtO2uSUL5fppUMkzpH5OnaavNpNfdlXkCw5dHls=,13,18,female,7,20160221,20170920
67,154,azyoXkWb9rcU+n4bx96h2RQpV5FBWHyE78/znZ5GYGU=,5,18,female,9,20150610,20170912
68,155,0jd8F/1rQvnnnQSJN5gB31m1aROSxDfK7XEeqeTJeqc=,1,21,male,4,20151206,20170809
69,158,H0b3IWM8oiDqtLrdQNXIohUtqFZSXjq/ZvHYdKgcg0g=,4,19,male,4,20151222,20170107
73,177,DVP7Tuk4tYp4n7vWn6yFKqa6IKdR7uLY2kb5RirHa6o=,22,19,male,4,20160609,20180310
74,178,CdSQeGXetwxZNkrJNKBZlh+Mm6JGV7H4XfwX3QEWZPc=,18,26,female,9,20100212,20161103
76,182,yVTOPRAgHe+IcHez3t+k+e7bIqR7rDMl70Ir7TbOqac=,4,25,female,4,20160605,20170927
77,185,RhPnFPLNHFRC+O3JSfWA+sca3fUYErhB7cKtUk8EyJQ=,1,20,female,4,20151228,20170709
79,189,zlpBcFKpjwov3ipQ6mFFPAs41FlEehqXghck9n3kJZA=,14,27,female,9,20070210,20170920
84,198,TeKQ2iUjortzFo/f5nc3KHx1bVBzNL8tFV5u6RZI2/s=,1,21,female,9,20141128,20171002
89,205,7s/hbVRK/XvFCUxi/aZgXO8vho8gBFZkdX34ucu8vs8=,13,24,male,9,20110606,20170425
90,207,4jYGK8yctzGWkRXU4y4OGQtCopKL8tCjkI0jNaUT/0c=,22,23,male,9,20120604,20171007
92,211,vyoxo0c6XWEPvhndjGPS1unkM5HiCCFyl0wvXISSBek=,8,21,female,9,20161124,20180115
94,214,zrPEmpkTqgl3MmbtKQ6gtmfl5df8Jskl4NC/A6bI6iU=,4,24,male,3,20150502,20170911
95,218,K6M81h0IaT5c1b9TND94m5amypw0a0GqFZpL1OvXMaE=,1,18,male,4,20160304,20171124
96,227,Ty59+gs+lfVbfm1T/SDqLmbFhtkAP4Mm75uYiaKZ6kk=,13,27,male,7,20150107,20180125
99,237,ovdZ39J4RYIDwiHGg4ewQUiYHnxT7ZE3GPECLIUxkqU=,15,26,male,3,20150101,20170519
100,238,HJm0vtQoz3SgSQ5twrmwbaPwpTKjNRRBKwdA18toaUM=,15,27,female,3,20120707,20170925
103,241,LfOBxngt14oVxS27mAcA/UzNWpdM/CrQqh70NUG911Q=,5,19,male,3,20150319,20170904
104,242,TZ71PeSF8sJf5OPz7FSiLxlqpNmJ7BZnW/r2lmyY4FM=,4,25,female,3,20120625,20120702
105,243,LKgeXrQ/i6LOWZOHrzk1bmWA7OeY1ovF9rmzmgdY46s=,15,22,female,3,20120718,20171028
107,248,nGNt0huNRIKmHPJ57BT4I+f7wq1Sr+c2BgdwLiHtL8E=,13,25,male,9,20110520,20171027
108,255,gaYdxoXSGQvFL9Uqb6QB7uPxyS/ITYM/TO7nbZd+8nI=,5,26,female,9,20120605,20170918
110,258,Fx2ZL4cdzlaxn1WOgqLSPevk0zNqAwidku68yb51Ezw=,4,19,male,7,20150901,20170916
111,259,6QrBX5Db60PiwhRCedigyEDt7iuWtSWgOuyE/G+66ZA=,5,24,female,9,20060331,20170926
112,261,L+5bpBfapgPhtiVliPhp1Oi1OGyckxtZUxEXGMtlqDE=,5,24,male,3,20130604,20170930
113,265,HMl2/E4zA8uRpBjj2nK2j5OHpulW7otTGrLo3ajRbW8=,6,21,female,9,20090329,20171001
114,267,U9Z+N+szYGJHTPMn/C0V7yIyIC24fDI0RDRWChXATkg=,13,24,female,7,20160418,20170917
115,268,eu2uud5M9aabg1Uu82f4ITjb8lnsa1BXKugfkLov3II=,15,24,male,4,20151011,20171014
118,273,MrJNgT9DBXZY3piygTFME0znoMv30sHJPssUQtQUCEU=,4,24,female,3,20130227,20170815
120,276,5pKUd5MJ9jU81lD9Fx9IV0emQD7m/PTrKSRx/e2QKlA=,13,23,male,9,20070909,20170922
121,279,MwWyxkOSQWBkqmjSB5xZajjPFs5ItHbNXY4qn/AERkw=,10,19,female,9,20101120,20170618
122,281,eIXB1Mp6L2zaaxCtzfdG0GL3CnTzsEwhAqI+BrDP0bA=,17,18,male,7,20130525,20170930
126,285,EB2/oHHMbHWUsCuS3vjHLknly8hpx+3v6iUyO2URXQI=,22,24,female,4,20151028,20171013
