,0
0,'1011'
1,'1019'
2,'1047'
3,'1054'
4,'109'
5,'1110'
6,'1138'
7,'1145'
8,'1152'
9,'1180'
10,'125'
11,'1259'
12,'1287'
13,'139'
14,'1568'
15,'1572'
16,'1609'
17,'1616'
18,'1630'
19,'1633'
20,'1944'
21,'1955'
22,'1995'
23,'2022'
24,'2058'
25,'2072'
26,'2079'
27,'2086'
28,'2107'
29,'2116'
30,'212'
31,'2122'
32,'2130'
33,'2183'
34,'2189'
35,'2219'
36,'242'
37,'275'
38,'352'
39,'359'
40,'367'
41,'374'
42,'381'
43,'388'
44,'409'
45,'416'
46,'423'
47,'430'
48,'437'
49,'444'
50,'451'
51,'458'
52,'465'
53,'509'
54,'531'
55,'691'
56,'698'
57,'726'
58,'786'
59,'829'
60,'843'
61,'850'
62,'857'
63,'864'
64,'873'
65,'880'
66,'893'
67,'900'
68,'907'
69,'921'
70,'940'
71,'947'
72,'958'
