,Unnamed: 0,song_id,song_length,genre_ids,artist_name,composer,lyricist,language
0,1,NV9HhUzyK50tGvxb3w0PdZoaw3Ypp86XDmmMr0vgFdg=,262749,['139'],['John Legend'],['John Stephens'],['John Stephens'],52.0
1,2,igUq5ErBzlm2Wi05YsoiyWdxd4wbHGPaFOS8kQFhoik=,228717,['465'],['Urban Zakapa'],"['Gwon Soonil', ' Park Yongin', ' Choi JaeMan', '  Jo HyunAh']","['Gwon Soonil', ' Park Yongin', ' Choi JaeMan', '  Jo HyunAh']",31.0
2,3,UfK2UdQAaYF6IJUXqSJ10FsbAF3YkvMJYcTYC2Ec5m4=,222649,['1609'],['Calvin Harris'],['Calvin Harris'],['Calvin Harris'],52.0
3,4,nO+tjL6/qHgNO/ui0TjeP+nSsD+aoGcT9AHU7Dtrzsc=,227327,['880'],['Casting Crowns'],"['Mark Hall', 'Matt Maher', 'John Mabe', 'Blake Bollinger']","['Mark Hall', 'Matt Maher', 'John Mabe', 'Blake Bollinger']",52.0
4,5,ZxB4Y6OFY7oArWVqRWofM3g714CWrHbY4ohABjzGLFE=,256052,['1609'],['Robin Schulz'],"['Dennis Bierbrodt', ' Guido Kramer', ' Robin Schulz', ' Jurgen Dohr', ' Richard Judge']","['Dennis Bierbrodt', ' Guido Kramer', ' Robin Schulz', ' Jurgen Dohr', ' Richard Judge']",52.0
5,6,w2D9Mf7vMdav4rGqPN6s5BMKGG85HCdLgGEoCfAX5aA=,202240,['465'],['ROY KIM'],['Kim Sang Woo'],['Kim Sang Woo'],31.0
6,7,zgi7xuap6x24XhKCKqMR+W467T/B8VKo+Iml43LYIjk=,234893,['1259'],['J. Cole'],"['Jermaine Cole', ' Kanye West', ' Sukmeke Rainey', ' Miri Ben Ari', ' Bosco Kante', ' John Stephens', ' Elliot Wolff']","['Jermaine Cole', ' Kanye West', ' Sukmeke Rainey', ' Miri Ben Ari', ' Bosco Kante', ' John Stephens', ' Elliot Wolff']",52.0
7,9,2YihPp5l88NPPDVQsU6LuHPHAJoGvMTjMxYIrEKt1bw=,230896,['1259'],['A$AP Mob'],"['Yung Gleesh', ' Rakim Mayers', ' Malcolm Lawson-Stribling', ' Tyler Gregory Okonma', ' Jordan Carter', ' Antonio Marangolo', ' Massimo Morante', ' Fabio Pignatelli', ' Claudio Simonetti']","['Yung Gleesh', ' Rakim Mayers', ' Malcolm Lawson-Stribling', ' Tyler Gregory Okonma', ' Jordan Carter', ' Antonio Marangolo', ' Massimo Morante', ' Fabio Pignatelli', ' Claudio Simonetti']",52.0
8,10,4BH2pvJt1PMz+5NN53zVYS4LWrZ0pD1XUZ0541NtRcM=,196501,['430'],['George Ezra'],"['George Ezra', 'Joel Pott']","['George Ezra', 'Joel Pott']",52.0
9,11,J/qnOUsfowuvsAL5vM7TaA1PSMrtgfwKwOoJggK00Vs=,226998,['465'],['Jason Chen'],['Zhang Yu'],['Shiyi Lang'],52.0
11,13,nFpE1rRvcjxew+n6TaUI9/Lw1pYFPc7sUEsoz75JK3E=,230608,['444'],['MONSTA X'],"['Joo Heon', ' Ye-Yo!']","['Joo Heon', ' I.M']",31.0
12,14,RjAYKc2H1Vu9oqKce80inLpTmoeisfHLs4JZ9yrU8xw=,227160,['921'],['Various Artists'],"['Pharrell Williams', ' Alicia Augello-Cook']","['Pharrell Williams', ' Alicia Augello-Cook']",52.0
14,16,th2d39w488DAKEPVhQLUGwWhQwISjciK4l9dLXXHxjQ=,329743,['359'],['Red Hot Chili Peppers'],"['Anthony Kiedis', ' Chad Smith', ' Flea', ' John Frusciante', ' Anthony Kiedis', ' Chad Smith', ' Flea', ' John Frusciante']","['Anthony Kiedis', ' Chad Smith', ' Flea', ' John Frusciante']",-1.0
17,20,dEkKcHJKDxTowQyf7zuk+XHYVyCl1VkxMz4D/h1rLmQ=,268966,"['1609', '2107']",['Imogen Heap'],['Imogen Heap'],['Imogen Heap'],52.0
18,21,QKL4J0XG7//c7/teWGp9qv90MbQvzwg4lN3NEzc9PZ4=,184982,['430'],['Lucy Rose'],['Lucy Rose'],['Lucy Rose'],52.0
20,23,AugQdYKZfd88M62oAlmkrhwfYNrUO+R3uk1ZmHS+aNQ=,206769,['1259'],['Kid Ink'],"['Brian Todd Collins', ' Frederikus van Workum', ' Ned Cameron', ' Jonathan Lauture']","['Brian Todd Collins', ' Frederikus van Workum', ' Ned Cameron', ' Jonathan Lauture']",52.0
22,25,+28/sBPjmrJ8BdJcZa6fx1WCtl6HkyplOtwUgYW+Qhk=,241371,['458'],['Various Artists'],['Mai-Ke Lin'],['Yi-Xuan Jiang'],3.0
23,26,ZsDxP0z9S9kVXnQhCP4VneJ7jTIzl/hrVF0PfpOpmME=,191895,['465'],['Jason Mraz'],['Jason Mraz'],"['Jason Mraz', ' Billy Galewood']",52.0
24,27,4AmsEWxzm4Vkwsa6HjMe+bVFmW293xK/BFX6VGXx6N8=,263105,['458'],['Easy Shen'],['Easy Shen'],['Easy Shen'],3.0
25,28,y9Vva67cVT7p7GAvFkRGHW3xM5cBrjKCCrHKDU9Bumk=,230974,['465'],['Britney Spears'],"['Britney Spears', ' BURNS', ' Joe Janiak', ' Gerald Gillum']","['Britney Spears', ' BURNS', ' Joe Janiak', ' Gerald Gillum']",52.0
27,31,02yUUmORAPsHjZVtYdLPosvfSWkWyY20mZctv7mnf5s=,172512,['1609'],['David Guetta'],"['David Guetta', ' Frederic Riesterer', ' David Nagy', ' Giorgio Tuinfort', ' Justin Davey', ' Pierre-Luc Rioux', ' Vinay Vyas', ' Zsolt Milichovski']","['Ryan Tedder', ' Breyan Stanley Isaac', ' Danny O Donoghue', ' Jason Evigan', ' Mark Sheehan', ' Sam Martin', ' Sean Douglas']",52.0
32,36,nMZvUOITZjwev9rhtYNwk+3p7JjEW00bROtstbUE7mA=,219324,['1609'],['Craig David'],"['Craig David', ' Tre Jean-Marie', ' Aaron Williams']","['Craig David', ' Tre Jean-Marie', ' Aaron Williams']",52.0
33,37,ntG6Y92y8xdR12rwL9ZfAMG+r0aHJvWEpNYFqlG+Tb0=,188891,['465'],['Peg Parnevik'],"['Peg Parnevik', ' Erik Lewander', ' Josefin Glenmark Brenam']","['Peg Parnevik', ' Erik Lewander', ' Josefin Glenmark Brenam']",52.0
