,Unnamed: 0,Unnamed: 0.1,msno,city,bd,gender,registered_via,registration_init_time,expiration_date
1,3,15,vUzJAyFEudsnkWwfcLIKT5mJAV+uVRTW2uajCrghFwI=,13,20,male,3,20140410,20170427
2,6,28,ox62m0QICnrFa8/ZM5jJ5WBidWIieREUjUdCiWExLSU=,6,26,female,7,20140118,20170917
4,8,30,Der2/cdVesg2+u1UZX/u11dZBM/FWtNl1TlKIK82puw=,11,21,female,9,20140817,20171231
5,9,33,gVhSsPpgPahjgc3otkuh5me02Tk9MFKkISphH5oKQVo=,15,22,male,4,20151029,20171006
6,11,37,UjuPJCQo/YoGVR/yJ+CocmWUk2czJE0BBKqaPpVYV64=,13,23,female,9,20130518,20171202
7,12,38,iOz2XV2LF6MiV+02PovZKeNFDk4+0hWf/QuyiGZ4cCI=,4,28,male,3,20160101,20171005
8,14,40,uRLetVA/REh7ndu0cxJk7MR39YSYzD6MBrBjeqztI0g=,13,18,female,3,20120629,20180425
9,15,44,U9wGSC/pB6SkX+3yKHDfJQyCnUYqvqeZYOCNbroOJf8=,5,28,female,9,20130531,20171006
10,18,50,XL9fOaAmdfJV35udH0/W7xjOtu4REE/Iwlks5ycurHo=,15,24,male,3,20130407,20171021
11,20,54,uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,15,26,male,9,20111107,20180304
12,23,57,7fxXq98BYeINQI/uYqCH0z+oiMz26YqTI21KbCRpxZc=,5,24,male,3,20140817,20171004
13,25,62,xSFqRzK2vBCY9bwpU7PobpeRBJFosVhI1WFZ4qJw2ao=,8,25,female,9,20060702,20170808
15,28,74,ik+dP9XmiuyBzl5b9mU9kPKglAAQq5VZFDRZmIGVYB0=,5,18,male,4,20151213,20170912
17,32,84,d+vzmduRJZbkWVqSPpfI+f9tu0nqNiKv5d83fveQHa8=,4,27,male,3,20160806,20180602
18,33,85,OY8nHf5TLStttsuwrNQcR/wP2wvyeVpD6/eHh1SlN3E=,5,26,male,3,20161026,20171006
19,34,91,0gN7VbYwpZAGLzlWgWE3wAQ26XgQ/P5SG3aGIvVCmkw=,22,21,male,7,20151110,20170919
20,36,94,NE+jdORNBYCKR9xo+TNptpDx2TlRajNS46GuTpxPSCw=,13,22,female,9,20150512,20170913
21,39,101,j99U1/u7dthHsGVBZlmLfWrpLLJbYwoWsK9iLzlgXwE=,1,24,female,4,20161215,20170527
22,42,106,2py1N+YUMs51S5OZ5jCZLSt7kpV/eVoypoROrn7x8Ys=,6,22,male,9,20160827,20171014
23,43,112,PkyjIeI3i6e/DtcQidRqTznpZzCjFvnBltJtA/hYfFM=,18,21,male,9,20070517,20161217
24,44,113,U9Gjfr5GWxo6IkFGOeYg4KEjFoeXwYacBoiEkkMlWME=,4,20,male,9,20161208,20170927
25,52,130,IdOfvJMfTMfrmM5rt17S33XkNK5K1pB1mx+Rsj0DA2U=,15,27,male,3,20130525,20171006
27,56,138,FfEausbckVJLb5/1iDKPsR14PEZluETO9Jyd8x8K9Us=,6,25,male,9,20161001,20171003
28,61,144,U33o7FTjgjWTRy7v0QyCVPbWvxhai+A5t+eGKcaaXX8=,11,22,female,3,20130816,20170926
31,65,152,DPu2CtO2uSUL5fppUMkzpH5OnaavNpNfdlXkCw5dHls=,13,18,female,7,20160221,20170920
32,67,154,azyoXkWb9rcU+n4bx96h2RQpV5FBWHyE78/znZ5GYGU=,5,18,female,9,20150610,20170912
33,68,155,0jd8F/1rQvnnnQSJN5gB31m1aROSxDfK7XEeqeTJeqc=,1,21,male,4,20151206,20170809
37,76,182,yVTOPRAgHe+IcHez3t+k+e7bIqR7rDMl70Ir7TbOqac=,4,25,female,4,20160605,20170927
39,79,189,zlpBcFKpjwov3ipQ6mFFPAs41FlEehqXghck9n3kJZA=,14,27,female,9,20070210,20170920
40,84,198,TeKQ2iUjortzFo/f5nc3KHx1bVBzNL8tFV5u6RZI2/s=,1,21,female,9,20141128,20171002
41,89,205,7s/hbVRK/XvFCUxi/aZgXO8vho8gBFZkdX34ucu8vs8=,13,24,male,9,20110606,20170425
42,90,207,4jYGK8yctzGWkRXU4y4OGQtCopKL8tCjkI0jNaUT/0c=,22,23,male,9,20120604,20171007
43,92,211,vyoxo0c6XWEPvhndjGPS1unkM5HiCCFyl0wvXISSBek=,8,21,female,9,20161124,20180115
